Carspector Fake Examiners,,,,,,,,,,,,
,,,,,,,,,,,,
No,Name,Picture,Price,rated,Rating,Description,Ausbildungen & Können 1,Ausbildungen & Können 2,Ausbildungen & Können 3,Stärken 1,Stärken 2,Stärken 3
1,Florian Hoffmann,https://media.licdn.com/dms/image/C4D03AQGbC_Xa4jAibA/profile-displayphoto-shrink_800_800/0/1546549940743?e=2147483647&v=beta&t=4c0Wqc7ZUYPhWqHXFAm_vHo6BmB9NvQoLgaKRQHP68w,219,23,4.2,"Hallo! Durch meine Kenntnisse und jahrelange Erfahrung im Bereich Gebrauchtwagen/ Neuwagen prüfe ich Ihr gewünschtes Fahrzeug nach strengen Kriterien. Ich habe spezielle Werkzeuge und Geräte, womit ich das Fahrzeug genau untersuchen werde. Für Wünsche und Fragen stehe ich natürlich jederzeit zur Verfügung und somit können wir zusammen sicherstellen, ob das Fahrzeug für Sie geeignet ist. Ich würde mich sehr freuen, Sie zu unterstützen! VG",Ausbildung zum Kfz-Mechatroniker 2010,Weiterbildung zum Kfz-Unfall- & Gebrauchtwagengutachter 2015,Gebrauchtwagenprüfer bis heute,Viel Erfahrung mit Gebrauchtwagen,Hartnäckig,Freundlich & auf Ihrer Seite
2,David Wagner,https://profile-images.xing.com/images/bdb84b4bb2a57599033af090ecf802b2-1/david-wagner.1024x1024.jpg,419,14,4.8,"Da ich eine umfassende technische Ausbildung und eine ausgeprägte Leidenschaft für Fahrzeuge habe, habe ich mir ein tiefgreifendes Verständnis für die Anforderungen an eine gründliche Prüfung angeeignet. Meine präzisen Inspektionsfähigkeiten ermöglichen es mir, Fahrzeuge auf Herz und Nieren zu prüfen und eventuelle Mängel genau zu identifizieren. Die transparente Berichterstattung, die ich pflege, stellt sicher, dass alle relevanten Informationen klar und verständlich kommuniziert werden",Ausbildung im Bereich Kfz,Fortbildungen ,Zertifizierter Gebrauchtwagenprüfer,Umfassendes Fachwissen,Genau,Gute Recherche
3,Philipp Becker,https://profile-images.xing.com/images/b49429cefdb0d12c1c64bcd56a447e32-3/philipp-becker.1024x1024.jpg,249,7,4.1,"Als leidenschaftlicher Autoliebhaber und technisch versierter Profi bringe ich eine solide Ausbildung und umfassende Kenntnisse im Bereich der Fahrzeuginspektion mit. Mein Ziel ist es, durch präzise Inspektionen und klare Berichterstattung einen nachhaltigen Mehrwert zu schaffen. Mit meiner Erfahrung bin ich überzeugt, dass ich einen positiven Beitrag leisten kann und freue mich darauf, meinen Enthusiasmus für ihr neues Fahrzeug einzubringen.",Studium Bereich Maschinenbau,Schulung zum Thema Lack & Unfallschäden,,Erfahrung,Kommunikationsfähigkeit,Kundenorientierung
4,Vincent Richter,https://i1.rgstatic.net/ii/profile.image/826507857506306-1574066237762_Q512/Vincent-Richter.jpg,299,18,4.5,"Durch meine fundierte technische Ausbildung und meine tiefe Leidenschaft für Fahrzeuge verbinde ich Fachkenntnisse mit Herzblut. Präzise Inspektionen sind für mich selbstverständlich, und meine transparente Berichterstattung schafft Klarheit. Als Teil von Carspector bin ich entschlossen, nicht nur Autos zu prüfen, sondern auch zur kontinuierlichen Verbesserung der Prüfungen beizutragen. Mein Ziel ist es, mit meiner Expertise einen nachhaltigen Beitrag zu Ihrer Kaufentscheidung zu leisten.",Kfz-Mechaniker,Kfz-Meister,Prüfer auch für E-Fahrzeuge,Analytische Fähigkeiten,Objektivität,Verhandlungsgeschick
5,Lorenz Schuster,https://www.jura.uni-wuerzburg.de/fileadmin/_processed_/9/1/csm_Schuster_d280a79a61.jpg,469,29,4.3,"Buchen Sie mich und erleben Sie eine neue Art von Gebrauchtwagenprüfugen. Ich werde Sie von A-Z begleiten und Sie werden die ganze Zeit an meiner Seite stehen, während ich Ihr gewünschtes Fahrzeug untersuche. Ich bin für Ihre Fragen offen und gehe selbstverständlich auf Ihre Wünsche und Vorstellungen ein. Ich erstelle ein professionelles Gutachten und werde Sie am Ende beraten und Ihnen eine Empfehlung aussprechen. Ich freue mich!",Mechaniker Ausbildung ,Fortbildung zum Gutachter ,Geprüfter Gutachter nach ADAC,Ethisch,Flexibel,Effizient
6,Helmut Hoffmann,https://profile-images.xing.com/images/ca29069b8f726ae53ed5e3f10cc63403-1/helmut-hoffmann.1024x1024.jpg,319,9,4.9,"Erleben Sie eine innovative Form der Gebrauchtwagenprüfung. Von Anfang bis Ende stehe ich Ihnen zur Seite und begleite Sie durch den gesamten Prozess der Fahrzeuguntersuchung. Während ich Ihr gewünschtes Fahrzeug inspiziere, können Sie sich darauf verlassen, dass ich stets an Ihrer Seite bin. Ihre Fragen sind willkommen, und ich werde selbstverständlich auf Ihre individuellen Wünsche und Vorstellungen eingehen.",Schulung im Bereich Gutachten,Gebrauchtwagen-Prüfer-Weiterbildung,Schulungen in vielen Themen,Sicherheitsbewusstsein,Technologiekenntnis,Durchsetzungsvermögen
7,Rudolf Zimmermann,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRCW1_VeKUdwS5hMlXNW-Do6mylorVm_kl9IA&usqp=CAU,389,13,4.6,"Hallo zusammen. Bist du auf der Suche nach einem neuen Gebrauchtwagen? Dann bist du bei mir genau richtig. Ich helfe dir, dein gewünschtes Fahrzeug genau kennenzulernen und erkläre dir alles über Fehler, Probleme und Mängel. Ebenfalls zeige ich dir alles positive über das Auto und so finden wir zusammen heraus, ob das Fahrzeug was für dich ist, oder wir lieber ein anderes nehmen sollten!",Ausbildung zum Kfz-Mechatroniker,Lack & Karosserie Experte,,Auffassungsgabe,Lösungsorientiert,Dokumentationsbewusstsein
8,Otto Schneider,https://www.sv-boeblingen.de/wp-content/uploads/Otto-Schneider-2020-12-09_SVB_Vorstaende0698-scaled.jpg,299,25,4.2,"Mit meiner umfangreichen Erfahrung als Gebrauchtwagen-Gutachter bzw. TÜV-Prüfer und ausgebildeter Kfz-Mechatroniker finde ich jeden Fehler bzw. Mangel. Ich beantworte deine Fragen, gehe auf deine Wünsche ein und stehe dir die ganze Zeit zur Seite. Gerne machen wir eine Probefahrt, um einmal in alles genau reinhören zu können. Zusammen sind wir ein Team, ich freue mich!",Ausbildung zum Karosseriebauer,Karosseriemeister,,Marktkenntnis,Gutes Urteilsvermögen,Verantwortung
9,Friedrich Müller,https://profile-images.xing.com/images/c2c7f846a4616b4e3f4cee9f0735acd8-1/friedrich-m%C3%BCller.1024x1024.jpg,259,6,4.7,"Schon während meiner Schulzeit wusste ich, dass Autos meine Leidenschaft sind und ich mein Leben lang etwas mit Autos zu tun haben werde. Kunden ein Lächeln ins Gesicht zu zaubern und sie möglichst zufrieden und glücklich zu machen, ist meine Motivation. Ich würde mich freuen, wenn Sie sich für mich entscheiden! Ich habe Qualifikationen und Weiterbildungen an zertifizierten Prüfstellen absolviert und bin daher optimal eingearbeitet! Danke!",Mechaniker ,Motor Experte,,Empatisch,Risikobewertung,Schnell aber genau
10,Karl Braun,https://profile-images.xing.com/images/02c1df444f94a9e3663182e27e63a2c2-3/karl-braun.1024x1024.jpg,479,21,4,"Guten Tag! Mit meinem Wissen und meiner langjährigen Erfahrung im Gebraucht-/Neuwagenbereich überprüfe ich Ihr Wunschfahrzeug nach strengen Maßstäben. Ich verfüge über spezielle Werkzeuge und Geräte, mit denen ich Fahrzeuge sorgfältig inspiziere. Gerne stehe ich für alle Wünsche und Fragen zur Verfügung, damit wir gemeinsam sicherstellen können, dass das Fahrzeug das Richtige für Sie ist. Ich unterstütze Sie gerne! Viele Grüße und bis bald!",Studium zum Ingenieur der Fahrzeugtechnik,Weiterbildungen und Schulungen ,Zertifizierung als Gebrauchtwagenprüfer vom TÜV,Zertifiziert,Präzise,Routiniert
